input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
"you ain't gettin 'in no trouble, i hope.",i just need a little time,you know what i mean?,what are you talking about?,look went through this weather thing,how do you know that?,original/random_sampling_temp1.0_top10.json_8,clustered/random_sampling_temp0.5.json_2,clustered/random_sampling_temp0.7.json_6,original/random_sampling_temp1.0.json_3,original/iterative_beam_search_bs5_ibs10.json_3,63,shall we unpack it?,i'll be right there,i don't think it's a good idea,you don't have to worry,what do we do now?,no i'll get it,original/beam_search_bs10_kpercand3.json_3,original/diverse_beam_search_bs10_dbs0.8.json_6,clustered/standard_beam_search_bs100.json_8,original/random_sampling_temp1.0.json_2,clustered/random_sampling_temp0.7.json_5,49,you're the guys from the movie!,i don't know what to say!,i was a little surprised you know that,i don't want to see you again,i've been to the movies,i don't know what you're saying,original/standard_beam_search_bs10_npad0.3.json_7,original/random_sampling_temp1.0_top10.json_6,original/clustering_beam_search_bs10_cbs5.json_8,original/random_sampling_temp0.5.json_0,original/standard_beam_search_bs10.json_7,87,you okay?,let's get out of here,i'm gonna find out,bowls is working on this case,you're not? me,what are you talking about?,clustered/iterative_beam_search_bs5_ibs100.json_8,clustered/random_sampling_temp0.7.json_2,original/random_sampling_temp1.0.json_6,clustered/random_sampling_temp1.0_top100.json_2,clustered/standard_beam_search_bs100.json_6,29,do you think they'll walk away?,i think they're fine,i don't believe it!,no but i'll get it,i'll take care of it,what are you talking about?,clustered/random_sampling_temp0.5.json_0,clustered/standard_beam_search_bs100_npad0.3.json_5,original/random_sampling_temp0.7.json_1,original/random_sampling_temp0.5.json_7,clustered/beam_search_bs100_kpercand3.json_1,90
"look, nobody knows we did it.",i don't know what you're talking about,we've got to get out of here and get out of here,we'll get you back to the lab in the morning,i think you're right,it's a matter of principle,original/clustering_beam_search_bs10_cbs5.json_2,original/diverse_beam_search_bs10_dbs0.8.json_5,original/random_sampling_temp0.5.json_9,clustered/random_sampling_temp1.0.json_4,original/random_sampling_temp0.5.json_6,68,"ready to roll, partner?",i don't know what to do!,it's no good to be shipped back to washington,i'll be back in a minute,i've got a lot of work to do but wait till you hear from me and make sure that nobody gets,i've got a lot of work to do,original/standard_beam_search_bs10_npad0.3.json_8,original/random_sampling_temp0.7.json_0,original/clustering_beam_search_bs10_cbs5.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_2,50,see anything you like?,you're not going to see anybody are you?,i've been thinking about you,you're so full of shit aren't you?,that's what i'm thinking,you're just like the rest of us,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0.json_7,original/random_sampling_temp1.0_top10.json_6,original/random_sampling_temp0.7.json_4,original/random_sampling_temp0.7.json_6,45,"bravo, your majesty!",i'll show you!,don't worry i'll take it from here!,i'll be back in a moment,i'll take care of it myself ma'a m but you won't be able to get your hands,i've been looking for you,clustered/random_sampling_temp0.5.json_1,original/random_sampling_temp0.7.json_8,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/random_sampling_temp0.5.json_9,2,there are cables overhead. hang on. it'll clear up.,i talking to your wife father,i've got a lot of work to do,all right let's go!,i don't know what to say,i don't know what you're saying,original/random_sampling_temp1.0.json_7,clustered/random_sampling_temp1.0.json_2,clustered/standard_beam_search_bs100.json_4,original/standard_beam_search_bs10_npad0.3.json_2,original/diverse_beam_search_bs10_dbs0.8.json_6,88
looking for intelligent life?,i've never seen anything like it before,no i don't think so,i don't know what you mean,i've never seen anything like it,you know what i'm saying?,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/standard_beam_search_bs100.json_5,original/standard_beam_search_bs10_npad0.3.json_2,clustered/clustering_beam_search_bs100_cbs5.json_0,clustered/random_sampling_temp1.0_top100.json_7,26,when do we go?,everything's going to be fine,i'll do my best,i wish i weren't here,i'll be back in a few minutes,i'll take care of it,clustered/iterative_beam_search_bs5_ibs100.json_7,clustered/random_sampling_temp1.0_top100.json_4,clustered/random_sampling_temp1.0.json_9,original/diverse_beam_search_bs10_dbs0.8.json_4,original/diverse_beam_search_bs10_dbs0.8.json_2,32,the bourbon. the news about ugarte upset me very much.,what are you talking about?,i'm sorry i'm late,you can tell it's odd,you don't have to worry about that,you just signed the basket correction,clustered/beam_search_bs100_kpercand3.json_9,original/random_sampling_temp0.5.json_6,original/random_sampling_temp0.7.json_3,clustered/standard_beam_search_bs100.json_9,original/random_sampling_temp1.0.json_3,60,i told you the facts! he abandoned us -- those are the facts.,we are accused of murder and nothing else,i don't see how it could be,i don't know what to say,i don't know what i'm doing,you don't have any proof,original/random_sampling_temp1.0.json_4,original/random_sampling_temp0.5.json_0,clustered/random_sampling_temp0.7.json_7,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp1.0_top100.json_6,97,i'm really not that hungry.,i won't even be here,what's the matter with you?,i'm sick of it!,the dog is very good to me,i'll take care of it,original/random_sampling_temp1.0.json_6,clustered/random_sampling_temp0.5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_0,clustered/random_sampling_temp1.0.json_7,clustered/clustering_beam_search_bs100_cbs5.json_1,94
it might be an interesting case.,we'll have to face the case,i'll be right back,i'm sure you're right,you're not a.,what are you talking about?,clustered/random_sampling_temp1.0.json_3,clustered/standard_beam_search_bs100_npad0.3.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/random_sampling_temp0.7.json_2,clustered/clustering_beam_search_bs100_cbs5.json_8,83,it's okay. it's alright.,i'll take care of it myself,so who are you to see?,i'll take care of it,i'll take care of it,i'll be back soon,original/standard_beam_search_bs10.json_8,original/random_sampling_temp0.7.json_9,clustered/random_sampling_temp0.5.json_9,clustered/beam_search_bs100_kpercand3.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_7,76,go ahead to the saloon. but don't get too drunk!,the floor! was well and that's all there is to it?,i've had enough!,i've got to get out of here and make sure nobody else gets hurt or run away without saying good bye at least a few days,i don't know what to say!,i'll take care of that,original/random_sampling_temp1.0.json_7,clustered/random_sampling_temp0.5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_0,original/standard_beam_search_bs10_npad0.3.json_9,original/standard_beam_search_bs10.json_3,56,so what should i wear?,you know what i mean?,i'll get it for you,you don't have to do that,what did your husband think?,i'll give you a discount,clustered/standard_beam_search_bs100.json_9,clustered/random_sampling_temp1.0_top100.json_4,clustered/standard_beam_search_bs100.json_6,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.7.json_9,20,"when you get going on those broads, think of me!",i said what you're talking about!,i've got to get out of here!,i'll be back in a few minutes and you won't find any other way,you're gonna have to do something,i don't know what to do,clustered/random_sampling_temp1.0.json_2,original/diverse_beam_search_bs10_dbs0.8.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_6,original/random_sampling_temp0.5.json_3,original/standard_beam_search_bs10.json_2,81
its muscles are locked.,we'll have to. the.,i don't know what to do,i don't know what to do with it,i can't believe you're here,you can't have a problem with the doctor!,original/clustering_beam_search_bs10_cbs5.json_9,original/standard_beam_search_bs10_npad0.3.json_0,original/standard_beam_search_bs10_npad0.3.json_9,original/clustering_beam_search_bs10_cbs5.json_7,original/random_sampling_temp1.0_top10.json_7,43,"why not religion, dad?",why didn't you tell me?,i've never seen anything like this,let's get out of here,why didn't you tell me?,i've never been to america,clustered/standard_beam_search_bs100.json_0,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/iterative_beam_search_bs5_ibs100.json_6,clustered/standard_beam_search_bs100_npad0.3.json_0,original/random_sampling_temp0.5.json_8,8,tell me your name.,can't you see that?,i don't know what to do,i'll tell you what i think,i'll call you back,i'll tell you what i'm gonna do,original/iterative_beam_search_bs5_ibs10.json_7,original/standard_beam_search_bs10.json_5,original/standard_beam_search_bs10_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_1,original/beam_search_bs10_kpercand3.json_8,19,do you really know superman?,i don't know what to do,you know what i mean?,did you see him before?,you got to be married to him,what are you talking about?,original/standard_beam_search_bs10_npad0.3.json_5,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/random_sampling_temp0.5.json_9,clustered/random_sampling_temp1.0.json_0,clustered/clustering_beam_search_bs100_cbs5.json_3,52,what are you crying for?,do you know what i'm talking about?,i don't know what happened,i don't know what you're talking about,i don't want to see you,i don't want to die,original/iterative_beam_search_bs5_ibs10.json_1,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/iterative_beam_search_bs5_ibs100.json_1,original/clustering_beam_search_bs10_cbs5.json_8,clustered/standard_beam_search_bs100.json_0,48
did you call?,he wants to talk to you,did you ever hear of call?,yes but we're not ready yet,yeah i'll call you,i direct myself by denying my sexual loyalty,clustered/random_sampling_temp0.7.json_3,original/random_sampling_temp1.0_top10.json_6,original/random_sampling_temp0.7.json_2,original/iterative_beam_search_bs5_ibs10.json_2,original/random_sampling_temp1.0.json_8,13,"it's happened at last, we've become a limited company.",i don't know what you're talking about.,i'll tell you what,but it's not your fault?,i don't know what's wrong with you,i don't know what you're saying,original/clustering_beam_search_bs10_cbs5.json_9,clustered/standard_beam_search_bs100.json_8,original/random_sampling_temp1.0_top10.json_3,original/clustering_beam_search_bs10_cbs5.json_7,original/standard_beam_search_bs10.json_4,84,how far have you gotten?,i've never seen you before,i don't know but i've been?,i can't believe it!,i've never been there,i don't know about that,original/standard_beam_search_bs10_npad0.3.json_2,original/random_sampling_temp0.5.json_1,clustered/standard_beam_search_bs100_npad0.3.json_5,clustered/random_sampling_temp1.0_top100.json_0,clustered/standard_beam_search_bs100_npad0.3.json_4,15,where the hell is he?,i've got to get him out of here,he'll be all right,i don't know where he is,he's going to be in here for a couple of years,i don't know where he is,original/random_sampling_temp0.5.json_9,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp0.7.json_0,original/random_sampling_temp0.5.json_5,clustered/clustering_beam_search_bs100_cbs5.json_0,5,i like cows.,i'm not wearing. m,i don't know what you're talking about,i'll take you home,i know what you're thinking,you can't eat the food you need for your food,original/random_sampling_temp0.7.json_2,original/standard_beam_search_bs10_npad0.3.json_2,original/random_sampling_temp0.5.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,original/random_sampling_temp1.0_top10.json_2,40
he said we're all going to have to go talk to the guy.,i didn t say we'd be here to keep things moving unless we weren't,of course he didn't say anything,i don't know what you're talkin about,who are you calling him?,you're not going to tell me?,original/random_sampling_temp1.0.json_5,clustered/iterative_beam_search_bs5_ibs100.json_0,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/random_sampling_temp1.0.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_6,99,i just want the job.,what are you doing here?,what are you talking about?,you want to be a hero?,i'll give you the money you get,i want to be a part of that,clustered/beam_search_bs100_kpercand3.json_6,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp0.7.json_8,original/random_sampling_temp0.5.json_0,original/random_sampling_temp1.0_top10.json_5,11,chief - mind if i take her?,come on don't be silly,you're making a mistake,what are you talking about?,what's the matter with you?,i'm not going to make it,clustered/random_sampling_temp1.0.json_1,clustered/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_5,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp0.5.json_9,55,maybe you inspire me.,i'm just trying to help,i don't know what to do,i was just trying to help,i don't know what you're talking about,i've never seen anything like it,clustered/clustering_beam_search_bs100_cbs5.json_2,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/random_sampling_temp0.7.json_3,clustered/standard_beam_search_bs100.json_1,clustered/clustering_beam_search_bs100_cbs5.json_6,27,ssh. i'm on a stakeout.,i'll take care of it,you don't have to do that,that's why i'm here,i'll be back in a minute,i've got to get out of here,clustered/standard_beam_search_bs100.json_6,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/standard_beam_search_bs100.json_2,original/standard_beam_search_bs10.json_3,original/standard_beam_search_bs10.json_6,67
you know where he lives?,i don't know but he's got a lot of work to do and we've gotta find him before it gets too late so far away,come on i'll show you,i've never seen him,what are you talking about?,he's in the??,clustered/diverse_beam_search_bs100_dbs0.8.json_2,original/iterative_beam_search_bs5_ibs10.json_8,original/standard_beam_search_bs10.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,clustered/random_sampling_temp0.7.json_1,39,i've lost interest.,i don't have any money,i'm here to help you,i don't know what to do,i've never seen anything like it before,i don't know what you're talking about,clustered/beam_search_bs100_kpercand3.json_6,clustered/random_sampling_temp0.5.json_6,original/standard_beam_search_bs10.json_3,original/clustering_beam_search_bs10_cbs5.json_7,original/diverse_beam_search_bs10_dbs0.8.json_0,47,where's ma?,we're on our way,i'll be right back,i don't know what to say,if you don't mind i'd like to talk to you,you're not going anywhere,clustered/random_sampling_temp0.7.json_5,original/beam_search_bs10_kpercand3.json_0,clustered/standard_beam_search_bs100.json_3,original/iterative_beam_search_bs5_ibs10.json_4,original/clustering_beam_search_bs10_cbs5.json_5,1,good luck.,i'm glad you're here,i'll be back in a minute,have you seen the.?,i don't think so,it's for ivy business,clustered/clustering_beam_search_bs100_cbs5.json_4,original/beam_search_bs10_kpercand3.json_3,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/beam_search_bs100_kpercand3.json_0,original/random_sampling_temp1.0.json_8,31,what are you looking to read?,i'll play it again,the name of the??,what are you talking about?,the shape that i've been there for a while,i don't know what you mean,clustered/random_sampling_temp1.0.json_5,clustered/random_sampling_temp1.0_top100.json_5,clustered/beam_search_bs100_kpercand3.json_9,clustered/random_sampling_temp1.0.json_3,clustered/standard_beam_search_bs100_npad0.3.json_2,95
i might do it wrong.,i don't know if i can do it,my daughter seems to know where he will be and realize about it,well it's not like you're working for someone like you,i've never seen anything like it,i don't know what i'm doing,original/beam_search_bs10_kpercand3.json_6,original/random_sampling_temp1.0.json_1,original/random_sampling_temp0.7.json_6,clustered/standard_beam_search_bs100_npad0.3.json_6,original/standard_beam_search_bs10.json_5,28,what will you do?,i'll give you a call!,where are you taking me?,i'll take care of him,i'll go with him,i don't know what to do,original/random_sampling_temp1.0_top10.json_8,clustered/iterative_beam_search_bs5_ibs100.json_1,original/clustering_beam_search_bs10_cbs5.json_4,clustered/random_sampling_temp1.0.json_2,clustered/clustering_beam_search_bs100_cbs5.json_6,9,there are cables overhead. hang on. it'll clear up.,how do you know that?,i'm going to be working on the.,we're going to have a little trouble here tonight at 7 00 p m tomorrow morning in new york and i'll tell you something else,what are you doing here?,english subtitles by. co inc,clustered/beam_search_bs100_kpercand3.json_8,clustered/random_sampling_temp0.7.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/iterative_beam_search_bs5_ibs100.json_1,88,i told you the facts! he abandoned us -- those are the facts.,have you ever heard of facts?,i don't know what you're talking about ma'a m but the truth is that we have a lot of work to do and nothing else has happened,and this is the end of the.,they're not the police!,i don't know what you mean,original/iterative_beam_search_bs5_ibs10.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_6,original/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0_top100.json_9,original/beam_search_bs10_kpercand3.json_4,97,i'm really not that hungry.,what happened to your car?,i've already told it to my uncle and my wife is a.!,you know what i'm saying?,i'm not going to eat,what are you talking about?,original/random_sampling_temp0.7.json_8,original/random_sampling_temp1.0_top10.json_2,clustered/random_sampling_temp0.7.json_6,clustered/beam_search_bs100_kpercand3.json_9,clustered/clustering_beam_search_bs100_cbs5.json_6,94
its muscles are locked.,i've never seen anything like this before,i don't know what happened,i don't know what happened,the.. are almost.,i'm not gonna let you get away with this,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/clustering_beam_search_bs100_cbs5.json_3,clustered/standard_beam_search_bs100_npad0.3.json_0,clustered/random_sampling_temp0.7.json_7,original/random_sampling_temp0.5.json_4,43,ssh. i'm on a stakeout.,i don't know what i'm doing,i'll get there and i'll call the nurse right away,this afternoon i told my mother that i'm going to marry this guy,that's the last. of a that's been.,look at the results stakeout on the audition or leave the show,original/beam_search_bs10_kpercand3.json_5,clustered/random_sampling_temp1.0.json_8,original/random_sampling_temp1.0.json_6,original/random_sampling_temp1.0_top10.json_5,original/random_sampling_temp1.0.json_5,67,see anything you like?,you know what i mean?,i've been looking for you,i've never seen anything like it,it s not much to get used to,i don't know what to say,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/clustering_beam_search_bs100_cbs5.json_3,clustered/standard_beam_search_bs100.json_5,clustered/random_sampling_temp1.0.json_6,original/diverse_beam_search_bs10_dbs0.8.json_5,45,"you ain't gettin 'in no trouble, i hope.",i don't know what to do,i don't know what you mean,i don't know what you're talking about,what are you talking about?,i'll be right back,original/clustering_beam_search_bs10_cbs5.json_5,original/standard_beam_search_bs10.json_5,original/standard_beam_search_bs10_npad0.3.json_0,clustered/random_sampling_temp0.5.json_8,clustered/standard_beam_search_bs100.json_5,63,are you alright?,everything's going to be all right,i think we should go now,you are a???,i don't want to talk about my feelings but if it was a mistake i'd never forget it,i thought you were gonna do it,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp1.0_top100.json_7,original/random_sampling_temp1.0_top10.json_7,original/random_sampling_temp1.0_top10.json_2,30
what did you just say?,didn't i tell you?,i'll tell you what i think,you don't have to say anything,i've been thinking about you,i'll tell you what,original/iterative_beam_search_bs5_ibs10.json_6,original/beam_search_bs10_kpercand3.json_6,clustered/standard_beam_search_bs100.json_5,clustered/random_sampling_temp0.5.json_7,original/diverse_beam_search_bs10_dbs0.8.json_0,18,do you think they'll walk away?,we're not going anywhere,i don't know what they're doing,i don't know what they're doing,i have to go now!,do you know what they're doing?,clustered/random_sampling_temp1.0_top100.json_2,original/clustering_beam_search_bs10_cbs5.json_2,original/standard_beam_search_bs10.json_4,clustered/random_sampling_temp1.0_top100.json_8,clustered/iterative_beam_search_bs5_ibs100.json_0,90,the bourbon. the news about ugarte upset me very much.,well steve i'm telling about the fellas,i don't know how to thank you,you're not going to the party?,have a good night and i'll see you later,what are you talking about?,original/random_sampling_temp1.0.json_9,original/standard_beam_search_bs10.json_6,clustered/random_sampling_temp0.7.json_4,original/random_sampling_temp0.7.json_0,clustered/standard_beam_search_bs100.json_4,60,tonight turned out to be pretty interesting.,i've never seen you like this,i hope you're enjoying it,i'll be back in a moment,what are you doing here?,i don't know what you're talking about,original/standard_beam_search_bs10_npad0.3.json_7,clustered/random_sampling_temp1.0_top100.json_1,original/beam_search_bs10_kpercand3.json_3,clustered/standard_beam_search_bs100.json_7,clustered/standard_beam_search_bs100.json_2,70,he thinks people *like* to get whacked by branches.,i don't know what you're talking about!,i don't know what you're talking about,you know what i mean?,i think he's a.,that's what i'm talking about,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_0,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/random_sampling_temp0.5.json_1,clustered/beam_search_bs100_kpercand3.json_3,62
your men knew the risks.,you know what i'm doing?,you're not the only one who knows the truth,that's why you're here,that's why i'm here,let's get out of here,original/standard_beam_search_bs10_npad0.3.json_5,original/clustering_beam_search_bs10_cbs5.json_9,clustered/beam_search_bs100_kpercand3.json_9,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/random_sampling_temp0.7.json_4,3,"c'mon, i need to talk to you. just the two of us.",they're waiting for us,don't you get it?,i'll be right back,i'll be right back,but you want me to keep a secret?,clustered/random_sampling_temp0.7.json_0,clustered/random_sampling_temp1.0_top100.json_3,clustered/standard_beam_search_bs100.json_7,clustered/beam_search_bs100_kpercand3.json_3,original/random_sampling_temp0.7.json_0,82,what's the matter?,didn't you hear me?,i've got to go,we can't see the door,what's the matter with you?!,i'll call the police,original/iterative_beam_search_bs5_ibs10.json_5,original/clustering_beam_search_bs10_cbs5.json_3,original/random_sampling_temp0.7.json_9,original/beam_search_bs10_kpercand3.json_7,clustered/random_sampling_temp1.0.json_0,6,i've lost interest.,i don't know what i'm doing,it's a very good part of my life,what are you doing here?,i've never seen anything like this before,of course i don't know,original/standard_beam_search_bs10_npad0.3.json_3,original/random_sampling_temp0.7.json_5,clustered/beam_search_bs100_kpercand3.json_8,original/beam_search_bs10_kpercand3.json_7,clustered/iterative_beam_search_bs5_ibs100.json_8,47,"bravo, your majesty!",not the crest i will!,homer your! will make haste to the ball,i've been waiting for you!,we're not here to fight,i'll take care of it!,original/random_sampling_temp1.0.json_4,original/random_sampling_temp1.0.json_6,original/clustering_beam_search_bs10_cbs5.json_5,original/random_sampling_temp0.5.json_8,original/standard_beam_search_bs10_npad0.3.json_2,2
my wife wasn't diabetic.,what's the matter with you?,i've had enough of this,what are you doing this week?,i don't even know you,i'm not a.!,original/random_sampling_temp0.5.json_5,clustered/standard_beam_search_bs100.json_9,original/random_sampling_temp0.7.json_9,original/random_sampling_temp1.0_top10.json_7,original/random_sampling_temp0.5.json_9,42,are you sure you even packed it?,no i'm not a?,i've been thinking about it,you don't have to worry,i've never seen anything like it before,i've been thinking about it,clustered/random_sampling_temp0.7.json_5,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/standard_beam_search_bs100.json_8,original/diverse_beam_search_bs10_dbs0.8.json_9,clustered/standard_beam_search_bs100.json_6,58,don't you think you should at least wave?,i don't think so sir,no i'm liking bad things,i think that's a good idea,i think we could get together,i don't want to know,original/beam_search_bs10_kpercand3.json_0,original/random_sampling_temp1.0.json_9,clustered/random_sampling_temp1.0_top100.json_0,original/random_sampling_temp1.0_top10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_2,66,you're the guys from the movie!,you know what i'm saying?,i don't know what to say,all right i'll show you,i don't know what to say!,you're not the only one who knows what,clustered/standard_beam_search_bs100.json_3,clustered/clustering_beam_search_bs100_cbs5.json_7,clustered/iterative_beam_search_bs5_ibs100.json_2,original/beam_search_bs10_kpercand3.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_4,87,he wants the money.,he wants to buy it?,you're not taking any chances,i don't know what to say,the. madhouse appearances and lodging is expensive,i don't know what he's talking about,clustered/standard_beam_search_bs100_npad0.3.json_3,original/random_sampling_temp1.0_top10.json_7,original/beam_search_bs10_kpercand3.json_3,original/random_sampling_temp1.0.json_9,original/standard_beam_search_bs10.json_7,17
he was... taken.,you were just a boy who was killed,i'll be right back,i've been thinking about that,i don't know what he's doing,he'll be back in a few days,original/random_sampling_temp1.0_top10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp0.5.json_3,original/standard_beam_search_bs10.json_7,clustered/random_sampling_temp0.7.json_4,24,where are you?,i've been waiting for you,i thought you were coming here,hey what're you doing?,ma'a m i'm sorry,i mean i want to study a known story,clustered/clustering_beam_search_bs100_cbs5.json_5,original/random_sampling_temp1.0_top10.json_3,original/random_sampling_temp1.0.json_7,clustered/iterative_beam_search_bs5_ibs100.json_8,original/random_sampling_temp1.0.json_2,12,tell me your name.,i don't know what to say,what are you talking about?,you created no hidden planet before,i don't know what you're talking about,with a little bit??,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/standard_beam_search_bs100_npad0.3.json_6,original/random_sampling_temp1.0.json_3,clustered/random_sampling_temp0.5.json_5,original/random_sampling_temp1.0.json_7,19,i just want the job.,i'll take care of it myself and make sure you don't get back to new york before 9 00 p m tomorrow morning at 8 30 in case we need anything,i've got to go,i'll take care of it myself,i don't want to die,what are you talking about?,clustered/diverse_beam_search_bs100_dbs0.8.json_9,original/beam_search_bs10_kpercand3.json_3,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/clustering_beam_search_bs100_cbs5.json_3,clustered/standard_beam_search_bs100_npad0.3.json_8,11,it's okay. it's alright.,i've been in it all night,i don't want to be late,what are you doing here?,i can't believe it!,what are you doing here?,original/random_sampling_temp1.0_top10.json_8,clustered/random_sampling_temp0.5.json_5,clustered/random_sampling_temp0.7.json_5,clustered/standard_beam_search_bs100.json_3,clustered/random_sampling_temp0.5.json_8,76
"look, nobody knows we did it.",we can't even get it off the.,we've got to get out of here and make sure it doesn't happen any more than two minutes,we've got to get out of here,i'll tell you what,dundee moved ashore to red georgia,original/random_sampling_temp0.5.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/standard_beam_search_bs10.json_2,clustered/standard_beam_search_bs100.json_9,original/random_sampling_temp1.0.json_5,68,"honey, we can be happy and poor together.",do you think i am going to marry with banner hell?,i know what i'm doing,i want you to meet a friend,this is a lot of money,i don't care what you do,original/random_sampling_temp1.0.json_3,clustered/standard_beam_search_bs100_npad0.3.json_3,original/random_sampling_temp1.0_top10.json_9,original/random_sampling_temp0.7.json_4,original/standard_beam_search_bs10_npad0.3.json_5,86,what happened to your pants?,i don't know what to do!,what are you going to do?,your lies wouldn't use it if it was meant to fire your ex ruin,fell in love with you?,i'll tell you what,original/standard_beam_search_bs10_npad0.3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_8,original/random_sampling_temp1.0.json_6,clustered/iterative_beam_search_bs5_ibs100.json_6,clustered/random_sampling_temp0.5.json_4,10,i'm scared shitless.,i've got to go,you're a.!,i'm not afraid of you,i've never seen anything like it,i'm not gonna hurt you,original/beam_search_bs10_kpercand3.json_4,clustered/random_sampling_temp0.7.json_5,clustered/random_sampling_temp0.5.json_0,clustered/beam_search_bs100_kpercand3.json_5,original/random_sampling_temp0.7.json_1,37,fine speech. now what do we do?,i don't know what you mean,we don't have time for this,we've got a lot of work to do,we'll take it off,we got a race in the submarine,original/standard_beam_search_bs10.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_3,clustered/random_sampling_temp1.0.json_2,57
